Dataset,Test,mode,loss,optimizer,WT,TC,ET,Mean_dice,Experiment
Brats2018,Brats2018,unet3d,dice,adamw,0.865,0.797,0.724,0.795,brats_2018/3dunet/3dUnet_baseline_c32
Brats2018,Brats2018,unet3d,dice,adamw,0.857,0.797,0.723,0.792,brats_2018/3dunet/3dUnet_baseline_c48
Brats2018,Brats2018,segformer3d,dice,adamw,0.865,0.764,0.673,0.767,brats_2018/segformer3d_mlp/ex1
Brats2018,Brats2018,segformer3d,dice,adamw,0.868,0.779,0.681,0.776,brats_2018/segformer3d_mlp/ex2
Brats2018,Brats2018,segformer3d,dice_focal,adamw,0.865,0.758,0.682,0.769,brats_2018/segformer3d_mlp/ex3
Brats2018,Brats2018,segformer3d,dice,adamw,0.871,0.782,0.682,0.778,brats_2018/segformer3d_unet/ex1
Brats2018,Brats2018,segformer3d,TverskyLoss,adamw,0.873,0.77,0.648,0.764,brats_2018/segformer3d_unet/ex2
Brats2018,Brats2018,segformer3d,dice_focal,adamw,0.87,0.774,0.683,0.776,brats_2018/segformer3d_unet/ex3
Brats2018,Brats2018,segformer3d_unet,dice_focal_weighted,adamw,0.876,0.767,0.677,0.773,brats_2018/segformer3d_unet/ex4
brats2018+2021,brats2018,segformer3d,dice,adamw,0.92,0.875,0.775,0.857,brats_2018_21/segformer3d_mlp/ex1
Brats2018+2021,Brats2018,segformer3d,dice_focal_weighted,adamw,0.923,0.869,0.779,0.857,brats_2018_21/segformer3d_mlp/ex2
Brats2018+2021,Brats2018,segformer3d,dice,adamw,0.931,0.91,0.799,0.88,brats_2018_21/segformer3d_unet/ex1
Brats2018+2021,Brats2018,segformer3d,dice_focal,adamw,0.933,0.905,0.803,0.88,brats_2018_21/segformer3d_unet/ex2
Brats2018+2021,Brats2018,segformer3d,dice_focal,adamw,0.934,0.91,0.799,0.881,brats_2018_21/segformer3d_unet/ex3
Brats2018+2021,Brats2018,unet3d,dice,adamw,0.916,0.891,0.826,0.878,brats_2018_21/unet3d/ex1
Brats2018+2021,Brats2018,segformer3d_et,dice,adamw,0.921,0.876,0.77,0.856,brats_2018_21/segformer3d_et/ex1


brats2018_21_seg_v1,brats2018_21_seg_all_v1,segformer3d,dicev1,adamw,0.869,0.798,0.0,0.556,brats_2018_21_all_v1/ex1
brats2018_21_seg_v1,brats2018_21_seg_all_v1,segformer3d,dicev1,adamw,0.869,0.798,0.0,0.556,brats_2018_21_all_v1/ex1
Brats2018+2021_all,brats2018_seg_all,segformer3d,dice,adamw,0.92,0.878,0.767,0.855,brats2018_21_all/ex1
brats_seg,brats2018_21_seg_all_v1,segformer3d,dicev1,adamw,0.994,0.42,nan,nan,brats_2018_21_all_v1/ex2
